Observer ,Year,Month,Sunday,Site,Family,Genus,Species,Fork length
Jessica Tran,2021,April,3,Papeete market,Scaridae,Scarus,rubroviolaceus,26.3878
Jessica Tran,2021,April,3,Papeete market,Serranidae,Cephalopholis,argus,26.3941
Jessica Tran,2021,April,1,Papeete market,Labridae,Coris,gaimard,26.39939
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,26.40042
Jessica Tran,2021,April,4,Papeete market,Chanidae,Chanos,chanos,26.40857
Jessica Tran,2021,April,3,Papeete market,Mullidae ,Mulloidichthys,vanicolensis,26.44229
Jessica Tran,2021,April,2,Papeete market,Scaridae,Chlorurus,spilurus,26.44388
Jessica Tran,2021,April,2,Papeete market,Serranidae,Variola,louti,26.4515
Jessica Tran,2021,April,3,Papeete market,Kyphosidae,Kyphosus,vaigiensis,26.45947
Jessica Tran,2021,April,1,Papeete market,Siganidae,Siganus,spinus,26.46066
Jessica Tran,2021,April,1,Papeete market,Scaridae,Chlorurus,spilurus,26.46572
Jessica Tran,2021,April,1,Papeete market,Serranidae,Variola,louti,26.47925
Jessica Tran,2021,April,3,Papeete market,Scaridae,Chlorurus,spilurus,26.47983
Jessica Tran,2021,April,3,Papeete market,Scaridae,Chlorurus,spilurus,26.48039
Jessica Tran,2021,April,3,Papeete market,Scaridae,Scarus,psittacus,26.49627
Jessica Tran,2021,April,2,Papeete market,Scaridae,Chlorurus,spilurus,26.49955
Jessica Tran,2021,April,2,Papeete market,Serranidae,Cephalopholis,argus ,26.50662
Jessica Tran,2021,April,4,Papeete market,Acanthuridae,Naso,lituratus,26.50709
Jessica Tran,2021,April,3,Papeete market,Serranidae,Cephalopholis,argus,26.50898
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,26.50994
Jessica Tran,2021,April,2,Papeete market,Acanthuridae,Naso,unicornis,26.51348
Jessica Tran,2021,April,2,Papeete market,Acanthuridae,Naso,lituratus,26.51374
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,psittacus,26.51484
Jessica Tran,2021,April,4,Papeete market,Serranidae,Epinephelus,merra,26.51682
Jessica Tran,2021,April,2,Papeete market,Mullidae ,Parupeneus ,cyclostomus,26.51833
Jessica Tran,2021,April,2,Papeete market,Acanthuridae,Naso,lituratus,26.52679
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,26.53401
Jessica Tran,2021,April,3,Papeete market,Mullidae ,Parupeneus ,multifasciatus,26.53824
Jessica Tran,2021,April,3,Papeete market,Serranidae,Cephalopholis,argus,26.54702
Jessica Tran,2021,April,3,Papeete market,Scaridae,Scarus,psittacus,26.54734
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,26.54739
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,26.55916
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,26.56168
Jessica Tran,2021,April,1,Papeete market,Mullidae ,Mulloidichthys,vanicolensis,26.56556
Jessica Tran,2021,April,3,Papeete market,Scaridae,Chlorurus,spilurus,26.5662
